N;K;count_it;start;end;result;mod
2097152;10;0;642843161944974;642844177517389;48.43;random
2097152;10;1;642844276342102;642845331802037;50.33;random
2097152;10;2;642845444901456;642846545763146;52.49;random
2097152;10;3;642846645850383;642847753214360;52.80;random
2097152;10;4;642847906159707;642849775188374;89.12;random
2097152;10;5;642849998082710;642852400759046;114.57;random
2097152;10;6;642852654441956;642853838755540;56.47;random
2097152;10;7;642853943043798;642855077357498;54.09;random
2097152;10;8;642855193450320;642856348300904;55.07;random
2097152;10;9;642856459358557;642857566533639;52.79;random
4194304;10;0;642857588296285;642857732788015;3.44;forward
4194304;10;1;642857747434467;642857891723019;3.44;forward
4194304;10;2;642857906297465;642858050391248;3.44;forward
4194304;10;3;642858064797154;642858209128918;3.44;forward
4194304;10;4;642858223893701;642858367928793;3.43;forward
4194304;10;5;642858382381507;642858526555200;3.44;forward
4194304;10;6;642858541020860;642858685167537;3.44;forward
4194304;10;7;642858699850668;642858844594837;3.45;forward
4194304;10;8;642858859125658;642859003433204;3.44;forward
4194304;10;9;642859017974704;642859162420657;3.44;forward
4194304;10;0;642859179465331;642859323772097;3.44;reverse
4194304;10;1;642859338135230;642859482449555;3.44;reverse
4194304;10;2;642859496812820;642859643125234;3.49;reverse
4194304;10;3;642859657567631;642859802344589;3.45;reverse
4194304;10;4;642859816699248;642859960753954;3.43;reverse
4194304;10;5;642859975142301;642860120301863;3.46;reverse
4194304;10;6;642860134663948;642860279268804;3.45;reverse
4194304;10;7;642860293917974;642860438207956;3.44;reverse
4194304;10;8;642860452725643;642860597031444;3.44;reverse
4194304;10;9;642860611502323;642860755577342;3.44;reverse
4194304;10;0;642861440257838;642867514708209;144.83;random
4194304;10;1;642868362534135;642875319947810;165.88;random
4194304;10;2;642875895074336;642881769785540;140.06;random
4194304;10;3;642882353064749;642888333971391;142.60;random
4194304;10;4;642888915978056;642894830526568;141.01;random
4194304;10;5;642895391242641;642901395463108;143.15;random
4194304;10;6;642901957427636;642907887362278;141.38;random
4194304;10;7;642908490716038;642914396522598;140.81;random
4194304;10;8;642915002159150;642920881743802;140.18;random
4194304;10;9;642921482976380;642927397213696;141.01;random
8388608;10;0;642927440355081;642927729793529;3.45;forward
8388608;10;1;642927758809143;642928047729540;3.44;forward
8388608;10;2;642928076638759;642928365174848;3.44;forward
8388608;10;3;642928393882356;642928682525107;3.44;forward
8388608;10;4;642928711430215;642929000598200;3.45;forward
8388608;10;5;642929029552448;642929318649204;3.45;forward
8388608;10;6;642929347620925;642929636534548;3.44;forward
8388608;10;7;642929665587498;642929955682600;3.46;forward
8388608;10;8;642929984766994;642930274423545;3.45;forward
8388608;10;9;642930303479402;642930591992539;3.44;forward
8388608;10;0;642930625994572;642930915179769;3.45;reverse
8388608;10;1;642930944009397;642931232810562;3.44;reverse
8388608;10;2;642931261880975;642931550444064;3.44;reverse
8388608;10;3;642931579510597;642931886112538;3.65;reverse
8388608;10;4;642931920117166;642932221437618;3.59;reverse
8388608;10;5;642932250337475;642932539499869;3.45;reverse
8388608;10;6;642932568914809;642932857781274;3.44;reverse
8388608;10;7;642932886660994;642933175067383;3.44;reverse
8388608;10;8;642933203966934;642933492713397;3.44;reverse
8388608;10;9;642933521562702;642933810342344;3.44;reverse
8388608;10;0;642935806476942;642953855984580;215.17;random
8388608;10;1;642955653220359;642974175674038;220.80;random
8388608;10;2;642976005544329;642994084893231;215.52;random
8388608;10;3;642995893086899;643014607814351;223.10;random
8388608;10;4;643016792491764;643035604152476;224.25;random
8388608;10;5;643037423647274;643055675538079;217.58;random
8388608;10;6;643057459784049;643075532092409;215.44;random
8388608;10;7;643077335963950;643095490366923;216.42;random
8388608;10;8;643097313445617;643115551418566;217.41;random
8388608;10;9;643117722101456;643136639690831;225.52;random
